# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.00946e-05 to 124.492 h/Mpc,
# number of wavenumbers equal to 713
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       1.127874678510e-02      -1.371702306499e+00      -9.115863643228e+02      -9.125358523150e+02      -1.368606114720e+00      -9.121054051928e+02       3.421515286799e-01       3.421515286799e-01 
       1.140286827892e-02      -1.366588967012e+00      -9.282452767998e+02      -9.292306476762e+02      -1.363504318625e+00      -9.287893250396e+02       3.408760796561e-01       3.408760796561e-01 
       1.152702737470e-02      -1.361490390550e+00      -9.449884704889e+02      -9.460106918540e+02      -1.358417251655e+00      -9.455583114356e+02       3.396043129139e-01       3.396043129139e-01 
       1.165122375897e-02      -1.356407448546e+00      -9.618143056960e+02      -9.628743491580e+02      -1.353345786835e+00      -9.624107285413e+02       3.383364467087e-01       3.383364467087e-01 
       1.177545715243e-02      -1.351338279103e+00      -9.787209706082e+02      -9.798198326668e+02      -1.348288060149e+00      -9.793447859556e+02       3.370720150374e-01       3.370720150374e-01 
       1.189972730874e-02      -1.346283445887e+00      -9.957067893266e+02      -9.968454729209e+02      -1.343244637068e+00      -9.963588136864e+02       3.358111592670e-01       3.358111592670e-01 
       1.202403401335e-02      -1.341244141604e+00      -1.012769952404e+03      -1.013949482967e+03      -1.338216708767e+00      -1.013451021689e+03       3.345541771917e-01       3.345541771917e-01 
       1.214837708248e-02      -1.336219716078e+00      -1.029908851007e+03      -1.031130264054e+03      -1.333203627216e+00      -1.030619810069e+03       3.333009068040e-01       3.333009068040e-01 
       1.227275636211e-02      -1.331207540785e+00      -1.047121778378e+03      -1.048386130867e+03      -1.328202763124e+00      -1.047863490559e+03       3.320506907810e-01       3.320506907810e-01 
       1.239717172709e-02      -1.326212290708e+00      -1.064406930068e+03      -1.065715301910e+03      -1.323218789824e+00      -1.065180278497e+03       3.308046974559e-01       3.308046974559e-01 
