# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.01244e-05 to 163.241 h/Mpc,
# number of wavenumbers equal to 626
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_nudm                 5:d_ur                   6:d_ncdm[0]              7:d_ncdm[1]              8:d_ncdm[2]              9:d_tot                 10:phi                   11:psi                
       2.495571018853e-03      -2.130824457583e+00      -5.874465502801e+01      -5.875797888240e+01      -2.108483508471e+00      -5.099934312081e+01      -5.099934312081e+01      -5.099934312081e+01      -5.867374367891e+01       4.424198664849e-01       4.424192179419e-01 
       2.603074051826e-03      -2.073342065452e+00      -6.359498805265e+01      -6.360964541206e+01      -2.054044773655e+00      -5.477155478350e+01      -5.477155478350e+01      -5.477155478350e+01      -6.351430355643e+01       4.411136291482e-01       4.411130732278e-01 
       2.711760119816e-03      -2.042409629167e+00      -6.868199262979e+01      -6.869812131867e+01      -2.029840901803e+00      -5.868203135304e+01      -5.868203135304e+01      -5.868203135304e+01      -6.859069873416e+01       4.397831654503e-01       4.397826210611e-01 
       2.821527588927e-03      -2.049801096159e+00      -7.400457225447e+01      -7.402231776860e+01      -2.041454633953e+00      -6.272580692196e+01      -6.272580692196e+01      -6.272580692196e+01      -7.390180546319e+01       4.384308060419e-01       4.384301924183e-01 
       2.932284032756e-03      -2.068082431872e+00      -7.956140386929e+01      -7.958091385548e+01      -2.057471447126e+00      -6.689769116480e+01      -6.689769116480e+01      -6.689769116480e+01      -7.944626192511e+01       4.370589068396e-01       4.370582190483e-01 
       3.043945563558e-03      -2.060346897067e+00      -8.535090031038e+01      -8.537232330179e+01      -2.043164576079e+00      -7.119225299784e+01      -7.119225299784e+01      -7.119225299784e+01      -8.522243972053e+01       4.356693498874e-01       4.356686479098e-01 
       3.156436146477e-03      -2.019298983033e+00      -9.137131593917e+01      -9.139479876103e+01      -1.988673032048e+00      -7.560387948939e+01      -7.560387948939e+01      -7.560387948939e+01      -9.122855491295e+01       4.342640874674e-01       4.342634475475e-01 
       3.269686922559e-03      -1.973344718723e+00      -9.762073376558e+01      -9.764642034881e+01      -1.907854432922e+00      -8.012615565370e+01      -8.012615565370e+01      -8.012615565370e+01      -9.746265177173e+01       4.328448108933e-01       4.328443344899e-01 
       3.383635557749e-03      -1.953289996187e+00      -1.040971480609e+02      -1.041251764335e+02      -1.848438102115e+00      -8.475411503433e+01      -8.475411503433e+01      -8.475411503433e+01      -1.039226980473e+02       4.314132888980e-01       4.314129032209e-01 
       3.498225628635e-03      -1.957512416033e+00      -1.107984216123e+02      -1.108289277380e+02      -1.833248534997e+00      -8.948323064358e+01      -8.948323064358e+01      -8.948323064358e+01      -1.106065327333e+02       4.299710339852e-01       4.299706903992e-01 
       3.613406050982e-03      -1.955608109718e+00      -1.177223278078e+02      -1.177554467739e+02      -1.834672242977e+00      -9.430919479017e+01      -9.430919479017e+01      -9.430919479017e+01      -1.175119041519e+02       4.285193956408e-01       4.285190996121e-01 
       3.729130553682e-03      -1.926300945551e+00      -1.248665622177e+02      -1.249024320347e+02      -1.814209043175e+00      -9.922789649493e+01      -9.922789649493e+01      -9.922789649493e+01      -1.246364901474e+02       4.270595890909e-01       4.270593712541e-01 
       3.845357198414e-03      -1.884922335965e+00      -1.322287841370e+02      -1.322675477886e+02      -1.770387599699e+00      -1.042354196904e+02      -1.042354196904e+02      -1.042354196904e+02      -1.319779426731e+02       4.255928192507e-01       4.255926844270e-01 
       3.962047943751e-03      -1.867018333421e+00      -1.398065904854e+02      -1.398484014365e+02      -1.736077771913e+00      -1.093279873033e+02      -1.093279873033e+02      -1.093279873033e+02      -1.395338613700e+02       4.241201463504e-01       4.241200582267e-01 
       4.079168251444e-03      -1.886224970421e+00      -1.475975301035e+02      -1.476425582079e+02      -1.733610443210e+00      -1.145019381869e+02      -1.145019381869e+02      -1.145019381869e+02      -1.473018003316e+02       4.226425010044e-01       4.226424158347e-01 
       4.196686732094e-03      -1.916212846222e+00      -1.555991781299e+02      -1.556476043712e+02      -1.746410487751e+00      -1.197537411600e+02      -1.197537411600e+02      -1.197537411600e+02      -1.552793294109e+02       4.211608443179e-01       4.211607517558e-01 
       4.314574827084e-03      -1.919381872765e+00      -1.638089738966e+02      -1.638610038292e+02      -1.741057900878e+00      -1.250798428088e+02      -1.250798428088e+02      -1.250798428088e+02      -1.634638928824e+02       4.196757462967e-01       4.196756712661e-01 
       4.432806523638e-03      -1.889592063904e+00      -1.722244739066e+02      -1.722803289532e+02      -1.709563049695e+00      -1.304768188190e+02      -1.304768188190e+02      -1.304768188190e+02      -1.718530506648e+02       4.181880688605e-01       4.181880356539e-01 
       4.551358099870e-03      -1.858376574239e+00      -1.808431390042e+02      -1.809030611304e+02      -1.678322077730e+00      -1.359411827578e+02      -1.359411827578e+02      -1.359411827578e+02      -1.804442779471e+02       4.166983995599e-01       4.166984012056e-01 
       4.670207896890e-03      -1.664573537053e+00      -1.896624418984e+02      -1.897266881442e+02      -1.660829148548e+00      -1.414694334963e+02      -1.414694334963e+02      -1.414694334963e+02      -1.892350226687e+02       4.152072871371e-01       4.152072113457e-01 
       4.789336115161e-03      -1.658592986291e+00      -1.986799455482e+02      -1.987487886842e+02      -1.654861991354e+00      -1.470581034700e+02      -1.470581034700e+02      -1.470581034700e+02      -1.982229141350e+02       4.137154978384e-01       4.137154335236e-01 
