# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=5.23499e-06 to 105.958 h/Mpc,
# number of wavenumbers equal to 575
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_nudm                 5:d_ur                   6:d_ncdm[0]              7:d_ncdm[1]              8:d_ncdm[2]              9:d_tot                 10:phi                   11:psi                
       2.946277941930e-03      -6.853153806757e-01      -1.869190748890e+02      -1.869789982307e+02      -6.820545627243e-01      -1.051786407195e+02      -1.051786407195e+02      -1.051786407195e+02      -1.822496465676e+02       1.705136406811e-01       1.705136019021e-01 
       3.029060819166e-03      -6.754239641141e-01      -1.947420389229e+02      -1.948067100269e+02      -6.722096917753e-01      -1.078896650718e+02      -1.078896650718e+02      -1.078896650718e+02      -1.897846026807e+02       1.680524229438e-01       1.680523910386e-01 
       3.112300170746e-03      -6.657074100912e-01      -2.026632914326e+02      -2.027330371223e+02      -6.625388676021e-01      -1.105349756745e+02      -1.105349756745e+02      -1.105349756745e+02      -1.974087684802e+02       1.656347169005e-01       1.656346904943e-01 
       3.195967629036e-03      -6.561642681305e-01      -2.106766770616e+02      -2.107518265751e+02      -6.530406464685e-01      -1.131102917914e+02      -1.131102917914e+02      -1.131102917914e+02      -2.051160976782e+02       1.632601616171e-01       1.632601396243e-01 
       3.280036852126e-03      -6.467936545359e-01      -2.187764912975e+02      -2.188573709122e+02      -6.437141488954e-01      -1.156122446701e+02      -1.156122446701e+02      -1.156122446701e+02      -2.129010195945e+02       1.609285372239e-01       1.609285187848e-01 
       3.364483381630e-03      -6.375931980149e-01      -2.269568082513e+02      -2.270437561195e+02      -6.345570150271e-01      -1.180380794491e+02      -1.180380794491e+02      -1.180380794491e+02      -2.207577881167e+02       1.586392537568e-01       1.586392381892e-01 
       3.449284507425e-03      -6.285614960146e-01      -2.352122794713e+02      -2.353056533945e+02      -6.255678492100e-01      -1.203861147769e+02      -1.203861147769e+02      -1.203861147769e+02      -2.286812611121e+02       1.563919623025e-01       1.563919490636e-01 
       3.534419139878e-03      -6.196957670203e-01      -2.435373010736e+02      -2.436374918387e+02      -6.167438834142e-01      -1.226553344056e+02      -1.226553344056e+02      -1.226553344056e+02      -2.366660916628e+02       1.541859708536e-01       1.541859595100e-01 
       3.619867689772e-03      -6.109936062890e-01      -2.519266228464e+02      -2.520340472453e+02      -6.080827246255e-01      -1.248456818254e+02      -1.248456818254e+02      -1.248456818254e+02      -2.447073193206e+02       1.520206811564e-01       1.520206713617e-01 
       3.705611956012e-03      -6.024517843839e-01      -2.603748497577e+02      -2.604899573122e+02      -5.995811590407e-01      -1.269578146420e+02      -1.269578146420e+02      -1.269578146420e+02      -2.527998859763e+02       1.498952897602e-01       1.498952812363e-01 
       3.791635020956e-03      -5.940680927269e-01      -2.688771781692e+02      -2.690004266107e+02      -5.912369888579e-01      -1.289934461409e+02      -1.289934461409e+02      -1.289934461409e+02      -2.609393497032e+02       1.478092472145e-01       1.478092397377e-01 
       3.877921153170e-03      -5.858400845610e-01      -2.774289158197e+02      -2.775607710322e+02      -5.830477792104e-01      -1.309550611659e+02      -1.309550611659e+02      -1.309550611659e+02      -2.691214159650e+02       1.457619448026e-01       1.457619381926e-01 
       3.964455717294e-03      -5.777642389675e-01      -2.860250235584e+02      -2.861659699037e+02      -5.750100261694e-01      -1.328456709833e+02      -1.328456709833e+02      -1.328456709833e+02      -2.773414914948e+02       1.437525065423e-01       1.437525006530e-01 
       4.051225090660e-03      -5.698385575598e-01      -2.946613471347e+02      -2.948118830472e+02      -5.671217409929e-01      -1.346693427182e+02      -1.346693427182e+02      -1.346693427182e+02      -2.855958763522e+02       1.417804352482e-01       1.417804299612e-01 
       4.138216586287e-03      -5.620598055925e-01      -3.033333050386e+02      -3.034939582334e+02      -5.593797043813e-01      -1.364304972204e+02      -1.364304972204e+02      -1.364304972204e+02      -2.938804865285e+02       1.398449260953e-01       1.398449213141e-01 
       4.225418381857e-03      -5.544251421350e-01      -3.120366768021e+02      -3.122079987449e+02      -5.517810888195e-01      -1.381341790270e+02      -1.381341790270e+02      -1.381341790270e+02      -3.021916130512e+02       1.379452722049e-01       1.379452678507e-01 
       4.312819454265e-03      -5.469313178907e-01      -3.207671566146e+02      -3.209497366945e+02      -5.443226602323e-01      -1.397857214554e+02      -1.397857214554e+02      -1.397857214554e+02      -3.105254821696e+02       1.360806650581e-01       1.360806610665e-01 
       4.400409519356e-03      -5.395752837464e-01      -3.295206914616e+02      -3.297151360256e+02      -5.370013836176e-01      -1.413907286030e+02      -1.413907286030e+02      -1.413907286030e+02      -3.188785736480e+02       1.342503459044e-01       1.342503422224e-01 
       4.488178976473e-03      -5.323546937889e-01      -3.382937796025e+02      -3.385007088690e+02      -5.298149236887e-01      -1.429550150001e+02      -1.429550150001e+02      -1.429550150001e+02      -3.272478992916e+02       1.324537309222e-01       1.324537275059e-01 
       4.576118857443e-03      -5.252655580724e-01      -3.470820267299e+02      -3.473020749513e+02      -5.227593088316e-01      -1.444837551650e+02      -1.444837551650e+02      -1.444837551650e+02      -3.356295930980e+02       1.306898272079e-01       1.306898240211e-01 
