# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_nudm           12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       2.952924388856e+01       1.011188828091e-01       2.614420313312e+03       2.134432634251e-02       1.147332034621e+04       3.758141010008e+02       3.502717950612e+05       6.658243583978e+02       2.390249661233e-06       7.037950401271e-05       3.811194193905e-04       3.759359733323e-08       1.653500354001e-06       4.555802670157e-04       4.555802670157e-04       1.310323074411e-06      -3.769549410296e-09       4.238950738597e-02       9.940199763706e-01 
       2.931665909937e+01       1.021922803384e-01       2.624432562178e+03       2.112113966323e-02       1.146330809735e+04       3.781191080380e+02       3.475292037384e+05       6.670255045225e+02       2.324365565991e-06       6.891949359228e-05       3.732131641313e-04       3.759359733323e-08       1.607923786594e-06       4.461025406735e-04       4.461025406735e-04       1.273169520195e-06      -3.652752208608e-09       4.268497103176e-02       9.940601076513e-01 
       2.910555458098e+01       1.032770204390e-01       2.634480155115e+03       2.090029155457e-02       1.145326050441e+04       3.804367886200e+02       3.448067592457e+05       6.682268673291e+02       2.260297472052e-06       6.748977066698e-05       3.654709218574e-04       3.759359733323e-08       1.563603472392e-06       4.368221870662e-04       4.368221870662e-04       1.237040050815e-06      -3.539574705380e-09       4.298250616277e-02       9.940999359970e-01 
       2.889592002623e+01       1.043732227150e-01       2.644563214556e+03       2.068175744058e-02       1.144317744497e+04       3.827671948189e+02       3.421043177408e+05       6.694284453738e+02       2.197995324162e-06       6.608970693561e-05       3.578892901893e-04       3.759359733323e-08       1.520504784726e-06       4.277350908311e-04       4.277350908311e-04       1.201906438963e-06      -3.429904692784e-09       4.328212729402e-02       9.941394628995e-01 
       2.868774519976e+01       1.054810080299e-01       2.654681863359e+03       2.046551300490e-02       1.143305879617e+04       3.851103786845e+02       3.394217363945e+05       6.706302372211e+02       2.137410446749e-06       6.471868713068e-05       3.504649373275e-04       3.759359733323e-08       1.478594051353e-06       4.188372225536e-04       4.188372225536e-04       1.167741235367e-06      -3.323633442406e-09       4.358384904199e-02       9.941786898291e-01 
       2.848101993745e+01       1.066004985199e-01       2.664836224813e+03       2.025153418802e-02       1.142290443471e+04       3.874663922398e+02       3.367588733834e+05       6.718322414434e+02       2.078495505906e-06       6.337610874806e-05       3.431946005889e-04       3.759359733323e-08       1.437838528145e-06       4.101246369684e-04       4.101246369684e-04       1.134517747350e-06      -3.220655597315e-09       4.388768612537e-02       9.942176182339e-01 
       2.827573414595e+01       1.077318176080e-01       2.675026422635e+03       2.003979718456e-02       1.141271423689e+04       3.898352874772e+02       3.341155878829e+05       6.730344566213e+02       2.021204472400e-06       6.206138178222e-05       3.360750849727e-04       3.759359733323e-08       1.398206373513e-06       4.015934711982e-04       4.015934711982e-04       1.102210017971e-06      -3.120869067475e-09       4.419365336572e-02       9.942562495399e-01 
       2.807187780219e+01       1.088750900166e-01       2.685252580970e+03       1.983027844056e-02       1.140248807856e+04       3.922171163535e+02       3.314917400607e+05       6.742368813434e+02       1.965492585719e-06       6.077392846693e-05       3.291032617566e-04       3.759359733323e-08       1.359666623526e-06       3.932399430301e-04       3.932399430301e-04       1.070792805749e-06      -3.024174928417e-09       4.450176568819e-02       9.942945851511e-01 
       2.786944095289e+01       1.100304417819e-01       2.695514824399e+03       1.962295465080e-02       1.139222583513e+04       3.946119307858e+02       3.288871910692e+05       6.754395142061e+02       1.911316319097e-06       5.951318302138e-05       3.222760671216e-04       3.759359733323e-08       1.322189167723e-06       3.850603492272e-04       3.850603492272e-04       1.040241564940e-06      -2.930477323040e-09       4.481203812227e-02       9.943326264490e-01 
       2.766841371407e+01       1.111980002671e-01       2.705813277933e+03       1.941780275614e-02       1.138192738159e+04       3.970197826470e+02       3.263018030390e+05       6.766423538138e+02       1.858633345511e-06       5.827859140158e-05       3.155905008062e-04       3.759359733323e-08       1.285744725585e-06       3.770510638762e-04       3.770510638762e-04       1.010532426366e-06      -2.839683366474e-09       4.512448580248e-02       9.943703747927e-01 
       2.746878627055e+01       1.123778941769e-01       2.716148067019e+03       1.921479994092e-02       1.137159259251e+04       3.994407237610e+02       3.237354390719e+05       6.778453987788e+02       1.807402504612e-06       5.706961105683e-05       3.090436247873e-04       3.759359733323e-08       1.250304823663e-06       3.692085367697e-04       3.692085367697e-04       9.816421787582e-07      -2.751703053879e-09       4.543912396909e-02       9.944078315186e-01 
       2.727054887552e+01       1.135702535712e-01       2.726519317540e+03       1.901392363038e-02       1.136122134199e+04       4.018748058982e+02       3.211879632343e+05       6.790486477210e+02       1.757583770564e-06       5.588571069136e-05       3.026325619895e-04       3.759359733323e-08       1.215841773330e-06       3.615292918221e-04       3.615292918221e-04       9.535482506314e-07      -2.666449171122e-09       4.575596796889e-02       9.944449979406e-01 
       2.707369185001e+01       1.147752098796e-01       2.736927155815e+03       1.881515148806e-02       1.135081350371e+04       4.043220807706e+02       3.186592405502e+05       6.802520992681e+02       1.709138220780e-06       5.472637003082e-05       2.963544950207e-04       3.759359733323e-08       1.182328649150e-06       3.540099255188e-04       3.540099255188e-04       9.262286926436e-07      -2.583837208212e-09       4.607503325590e-02       9.944818753494e-01 
       2.687820558246e+01       1.159928959156e-01       2.747371708604e+03       1.861846141330e-02       1.134036895092e+04       4.067826000271e+02       3.161491369947e+05       6.814557520556e+02       1.662028005509e-06       5.359107959366e-05       2.902066649341e-04       3.759359733323e-08       1.149739267843e-06       3.466471053984e-04       3.466471053984e-04       8.996621604508e-07      -2.503785275430e-09       4.639633539210e-02       9.945184650129e-01 
       2.668408052820e+01       1.172234458912e-01       2.757853103105e+03       1.842383153869e-02       1.132988755642e+04       4.092564152485e+02       3.136575194874e+05       6.826596047264e+02       1.616216318263e-06       5.247934046723e-05       2.841863700155e-04       3.759359733323e-08       1.118048167827e-06       3.394375685662e-04       3.394375685662e-04       8.738278980301e-07      -2.426214022058e-09       4.671989004820e-02       9.945547681756e-01 
       2.649130720904e+01       1.184669954316e-01       2.768371466959e+03       1.823124022767e-02       1.131936919257e+04       4.117435779425e+02       3.111842558854e+05       6.838636559310e+02       1.571667367067e-06       5.139066408857e-05       2.782909645966e-04       3.759359733323e-08       1.087230589326e-06       3.323781202389e-04       3.323781202389e-04       8.487057214643e-07      -2.351046557626e-09       4.704571300438e-02       9.945907860590e-01 
       2.629987621279e+01       1.197236815903e-01       2.778926928247e+03       1.804066607197e-02       1.130881373128e+04       4.142441395387e+02       3.087292149774e+05       6.850679043276e+02       1.528346346491e-06       5.032457202968e-05       2.725178578917e-04       3.759359733323e-08       1.057262455026e-06       3.254656323202e-04       3.254656323202e-04       8.242760031726e-07      -2.278208375615e-09       4.737382015105e-02       9.946265198607e-01 
       2.610977819277e+01       1.209936428635e-01       2.789519615498e+03       1.785208788927e-02       1.129822104403e+04       4.167581513832e+02       3.062922664766e+05       6.862723485816e+02       1.486219410461e-06       4.928059578728e-05       2.668645128598e-04       3.759359733323e-08       1.028120351267e-06       3.186970420061e-04       3.186970420061e-04       8.005196565761e-07      -2.207627279509e-09       4.770422748961e-02       9.946619707547e-01 
       2.592100386740e+01       1.222770192060e-01       2.800149657682e+03       1.766548472075e-02       1.128759100184e+04       4.192856647338e+02       3.038732810143e+05       6.874769873659e+02       1.445253645814e-06       4.825827657695e-05       2.613284450892e-04       3.759359733323e-08       9.997815097449e-07       3.120693504191e-04       3.120693504191e-04       7.774181211863e-07      -2.139233311158e-09       4.803695113320e-02       9.946971398913e-01 
       2.573354401971e+01       1.235739520458e-01       2.810817184221e+03       1.748083582874e-02       1.127692347531e+04       4.218267307541e+02       3.014721301340e+05       6.886818193607e+02       1.405417046583e-06       4.725716513151e-05       2.559072217063e-04       3.759359733323e-08       9.722237897300e-07       3.055796212715e-04       3.055796212715e-04       7.549533481045e-07      -2.072958681356e-09       4.837200730750e-02       9.947320283965e-01 
       2.554738949691e+01       1.248845843003e-01       2.821522324980e+03       1.729812069436e-02       1.126621833455e+04       4.243814005087e+02       2.990886862844e+05       6.898868432535e+02       1.366678488996e-06       4.627682150358e-05       2.505984603059e-04       3.759359733323e-08       9.454256607638e-07       2.992249795566e-04       2.992249795566e-04       7.331077859201e-07      -2.008737702572e-09       4.870941235149e-02       9.947666373721e-01 
